                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8708,                 6.2298,                 4.2214,                      0,                      0,                      0,                      0,                 7.0503,                  5.452,                 4.1586,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8194,                 5.3537,                 4.0375,                      0,                      0,                      0,                      0,                 7.0498,                 5.4483,                 4.1554,             0.00028115,             0.00028115,             0.00028115
                      3,                 6.6798,                 4.7001,                 3.6891,                      0,                      0,                      0,                      0,                 7.0536,                 5.1817,                 4.1815,             0.00042655,             0.00042655,             0.00042655
                      4,                 6.3673,                  5.856,                 3.6141,                      0,                      0,                      0,                      0,                 7.0594,                 5.0573,                 4.2352,             0.00056959,             0.00056959,             0.00056959
                      5,                 5.6435,                 3.8818,                 3.3479,                      0,                      0,                      0,                      0,                 7.0676,                 5.0099,                 4.3315,             0.00071024,             0.00071024,             0.00071024
                      6,                 4.8697,                 3.3479,                 2.8292,                      0,                      0,                      0,                      0,                 7.0831,                 4.7988,                 4.5161,             0.00084852,             0.00084852,             0.00084852
                      7,                  4.117,                 2.8814,                 2.4835,                      0,                      0,                      0,                      0,                 7.0908,                 4.3551,                 4.5904,             0.00098443,             0.00098443,             0.00098443
                      8,                 4.1364,                 2.7357,                 2.3092,                      0,                      0,                      0,                      0,                 7.1076,                 5.4931,                 4.7994,               0.001118,               0.001118,               0.001118
                      9,                 3.8091,                 2.5897,                 2.1228,                      0,                      0,                      0,                      0,                  7.112,                 5.9537,                 4.8437,              0.0012491,              0.0012491,              0.0012491
                     10,                  3.656,                 2.5606,                  1.997,                      0,                      0,                      0,                      0,                 7.1258,                 6.4536,                 5.1012,              0.0013779,              0.0013779,              0.0013779
                     11,                  3.543,                 2.4825,                 1.9291,                      0,                      0,                      0,                      0,                 7.1188,                   6.17,                 5.0422,              0.0015043,              0.0015043,              0.0015043
                     12,                 3.3534,                  2.368,                 1.7637,                0.02639,                0.00903,                0.00296,                0.00093,                 6.1731,                 4.1655,                  3.306,              0.0015218,              0.0015218,              0.0015218
                     13,                 3.2648,                 2.3847,                 1.7469,                0.04629,                 0.0331,                0.01237,                0.00414,                 4.2734,                 3.1349,                 2.2237,              0.0015218,              0.0015218,              0.0015218
                     14,                  3.218,                  2.389,                 1.7058,                0.01491,                0.09236,                0.01417,                0.00433,                 4.2366,                 2.9493,                  2.167,              0.0015086,              0.0015086,              0.0015086
                     15,                 3.0364,                 2.2833,                 1.6277,                0.11535,                0.15989,                0.06428,                0.02409,                 3.2482,                 2.2972,                 1.7333,              0.0014954,              0.0014954,              0.0014954
