                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8691,                 6.2405,                 4.2095,                      0,                      0,                      0,                      0,                 7.0505,                 5.4506,                 4.1577,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8293,                 5.3529,                 4.0587,                      0,                      0,                      0,                      0,                 7.0494,                  5.415,                 4.1481,             0.00028115,             0.00028115,             0.00028115
                      3,                 6.7466,                 4.8002,                 3.7478,                      0,                      0,                      0,                      0,                 7.0502,                 4.9196,                 4.1518,             0.00042655,             0.00042655,             0.00042655
                      4,                 6.4821,                 5.4171,                 3.4792,                      0,                      0,                      0,                      0,                 7.0556,                 4.8863,                 4.2001,             0.00056959,             0.00056959,             0.00056959
                      5,                 5.6395,                 3.6293,                  3.284,                      0,                      0,                      0,                      0,                 7.0628,                 4.6149,                 4.2834,             0.00071024,             0.00071024,             0.00071024
                      6,                 4.6422,                 3.3083,                 2.6608,                      0,                      0,                      0,                      0,                 7.0756,                 4.7907,                 4.4156,             0.00084852,             0.00084852,             0.00084852
                      7,                  4.127,                 2.8956,                 2.4346,                      0,                      0,                      0,                      0,                  7.064,                 5.1151,                  4.296,             0.00098443,             0.00098443,             0.00098443
                      8,                 4.1335,                  2.803,                 2.2457,                      0,                      0,                      0,                      0,                 7.0735,                  5.339,                 4.4075,               0.001118,               0.001118,               0.001118
                      9,                 3.8309,                 2.6595,                 2.0713,                      0,                      0,                      0,                      0,                 7.0888,                 5.7192,                 4.5888,              0.0012491,              0.0012491,              0.0012491
                     10,                 3.6345,                 2.5606,                 1.9654,                      0,                      0,                      0,                      0,                 7.1268,                 7.8768,                 5.1258,              0.0013779,              0.0013779,              0.0013779
                     11,                 3.6214,                 2.5016,                 1.9036,                      0,                      0,                      0,                      0,                  7.102,                 5.8605,                 4.7324,              0.0015043,              0.0015043,              0.0015043
                     12,                  3.357,                 2.3502,                 1.7343,                      0,                      0,                      0,                      0,                 7.1146,                 7.4342,                 5.1428,              0.0015218,              0.0015218,              0.0015218
                     13,                 3.2424,                 2.3294,                 1.7587,                0.00136,                0.00395,                0.00117,                0.00036,                 4.8989,                 5.4032,                 3.3221,              0.0015218,              0.0015218,              0.0015218
                     14,                  3.146,                 2.3095,                 1.7261,                0.09832,                0.05885,                0.02014,                0.00665,                 3.9201,                 2.8415,                 1.9784,              0.0015086,              0.0015086,              0.0015086
                     15,                 2.9765,                 2.2105,                 1.6391,                0.08578,                0.06161,                0.02141,                0.00691,                 3.7168,                 2.8045,                 1.9674,              0.0014954,              0.0014954,              0.0014954
                     16,                 3.3521,                 2.2688,                  1.673,                0.12627,                0.25494,                 0.0846,                 0.0309,                  2.924,                 2.2455,                 1.6124,              0.0014822,              0.0014822,              0.0014822
                     17,                   2.97,                 2.2072,                  1.594,                0.07311,                0.26789,                0.06542,                0.02139,                 3.1473,                 2.3423,                 1.7075,               0.001469,               0.001469,               0.001469
                     18,                 2.7611,                 2.1393,                 1.5206,                0.63372,                0.15998,                0.12896,                0.04693,                 2.7356,                 2.3874,                 1.5237,              0.0014558,              0.0014558,              0.0014558
                     19,                 2.7875,                 2.0927,                 1.4959,                0.64587,                0.17745,                0.16616,                0.05941,                 2.6989,                  2.488,                 1.4807,              0.0014426,              0.0014426,              0.0014426
                     20,                  2.809,                 2.1127,                  1.471,                0.67534,                0.19509,                0.23432,                0.09043,                 2.4774,                 2.0502,                 1.4133,              0.0014294,              0.0014294,              0.0014294
                     21,                 2.7998,                 2.0782,                 1.4856,                0.73834,                0.25215,                0.32152,                0.13274,                 2.2742,                 1.9528,                 1.3372,              0.0014161,              0.0014161,              0.0014161
                     22,                 2.6075,                 2.0292,                 1.4404,                0.28203,                0.45396,                0.34968,                 0.1388,                 2.2818,                 1.7996,                 1.3523,              0.0014029,              0.0014029,              0.0014029
                     23,                 2.6622,                 2.0242,                 1.4673,                0.29451,                0.46533,                0.35318,                0.14783,                 2.2313,                 1.7588,                 1.3121,              0.0013897,              0.0013897,              0.0013897
                     24,                 2.6573,                 2.0329,                 1.4303,                0.36112,                0.41304,                 0.3373,                0.13416,                 2.2647,                 1.7424,                 1.3213,              0.0013765,              0.0013765,              0.0013765
                     25,                 2.5294,                 1.9095,                 1.4017,                0.31083,                0.51052,                0.38354,                0.16188,                 2.1889,                 1.7618,                 1.3092,              0.0013633,              0.0013633,              0.0013633
                     26,                 2.4444,                 1.9149,                 1.4157,                0.32661,                 0.4195,                0.35327,                0.14618,                 2.3519,                  1.783,                 1.3192,              0.0013501,              0.0013501,              0.0013501
                     27,                 2.4114,                 1.9238,                 1.3598,                0.40711,                0.49196,                0.42785,                0.18783,                 2.1076,                 1.7128,                 1.2585,              0.0013369,              0.0013369,              0.0013369
                     28,                 2.4684,                 1.8413,                 1.3589,                 0.3113,                0.57713,                0.40824,                0.16978,                 2.1244,                 1.6875,                 1.2462,              0.0013237,              0.0013237,              0.0013237
                     29,                  2.412,                 1.7799,                 1.3127,                0.38055,                0.53936,                0.41863,                0.16628,                 2.1619,                 1.5709,                 1.2519,              0.0013105,              0.0013105,              0.0013105
                     30,                 2.3044,                 1.7718,                 1.3091,                0.37514,                 0.4547,                0.32763,                0.12242,                 2.5058,                 1.6517,                  1.361,              0.0012973,              0.0012973,              0.0012973
                     31,                 2.2648,                 1.6771,                 1.2751,                0.48613,                0.53705,                 0.4671,                0.20213,                  2.101,                 1.4442,                  1.223,              0.0012841,              0.0012841,              0.0012841
                     32,                 2.2349,                 1.7145,                 1.3195,                0.36304,                0.58816,                0.43653,                0.18712,                 2.0604,                 1.5483,                 1.2088,              0.0012709,              0.0012709,              0.0012709
                     33,                 2.3039,                 1.7642,                 1.3135,                 0.4189,                0.44023,                0.34794,                0.12871,                  2.242,                 1.7763,                 1.2539,              0.0012577,              0.0012577,              0.0012577
                     34,                 2.0678,                 1.5656,                 1.2811,                 0.4564,                0.52166,                0.43424,                0.19608,                 2.0169,                 1.6819,                 1.1895,              0.0012445,              0.0012445,              0.0012445
