                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8708,                 6.2298,                 4.2214,                      0,                      0,                      0,                      0,                 7.0503,                  5.452,                 4.1586,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8221,                 5.3595,                 4.0389,                      0,                      0,                      0,                      0,                 7.0499,                  5.444,                 4.1547,             0.00028152,             0.00028152,             0.00028152
                      3,                 6.7032,                  4.674,                 3.6927,                      0,                      0,                      0,                      0,                 7.0534,                 5.1901,                 4.1811,              0.0004277,              0.0004277,              0.0004277
                      4,                 6.3938,                 4.4414,                 3.5361,                      0,                      0,                      0,                      0,                 7.0597,                 5.0521,                 4.2377,              0.0005719,              0.0005719,              0.0005719
                      5,                 5.5065,                 3.6532,                 3.3236,                      0,                      0,                      0,                      0,                 7.0732,                 5.2267,                 4.3998,             0.00071412,             0.00071412,             0.00071412
                      6,                 4.6454,                 3.3012,                 2.7302,                      0,                      0,                      0,                      0,                 7.0914,                 5.9253,                 4.6295,             0.00085435,             0.00085435,             0.00085435
                      7,                 4.0843,                 2.8141,                 2.4683,                      0,                      0,                      0,                      0,                 7.1045,                 6.6161,                 4.7825,             0.00099261,             0.00099261,             0.00099261
                      8,                 4.0209,                 2.6848,                 2.2706,                      0,                      0,                      0,                      0,                 7.1039,                 6.1301,                 4.7458,              0.0011289,              0.0011289,              0.0011289
                      9,                 3.7197,                 2.6172,                 2.0993,                      0,                      0,                      0,                      0,                 7.0945,                 5.8875,                 4.6281,              0.0012632,              0.0012632,              0.0012632
                     10,                 3.5347,                 2.5642,                 1.9703,                      0,                      0,                      0,                      0,                 7.0915,                 5.6961,                 4.5747,              0.0013955,              0.0013955,              0.0013955
                     11,                  3.496,                 2.4571,                 1.8706,                      0,                      0,                      0,                      0,                 7.0454,                 4.5901,                 4.0896,              0.0015258,              0.0015258,              0.0015258
                     12,                 3.2331,                 2.3328,                 1.6916,                      0,                      0,                      0,                      0,                 6.1319,                 6.0499,                 4.6762,               0.001546,               0.001546,               0.001546
                     13,                 3.1794,                 2.3097,                 1.7086,                0.00319,                0.00863,                0.00236,                0.00077,                 4.8307,                  3.893,                 2.8551,               0.001546,               0.001546,               0.001546
                     14,                 3.0861,                 2.2782,                 1.6686,                0.10156,                0.07884,                0.03203,                0.01195,                 3.3564,                 2.4397,                 1.7449,               0.001535,               0.001535,               0.001535
                     15,                 2.9008,                 2.2235,                 1.5791,                0.09657,                0.08854,                0.03763,                0.01284,                 3.3026,                 2.4169,                 1.7898,               0.001524,               0.001524,               0.001524
                     16,                 3.2596,                 2.2432,                 1.6038,                0.12334,                0.23521,                0.09245,                0.03372,                 2.9806,                 2.2045,                 1.6269,               0.001513,               0.001513,               0.001513
                     17,                 2.9055,                 2.1822,                 1.5491,                0.12715,                0.27461,                0.11706,                0.04246,                 2.9474,                  2.214,                 1.6037,               0.001502,               0.001502,               0.001502
                     18,                 2.7203,                 2.0911,                 1.4736,                0.66901,                0.13842,                0.15892,                 0.0544,                 2.7384,                 2.4966,                 1.5097,               0.001491,               0.001491,               0.001491
                     19,                 2.7482,                 2.0368,                  1.472,                0.65559,                0.13992,                0.15821,                0.04801,                 2.8492,                 2.6577,                 1.5258,                0.00148,                0.00148,                0.00148
                     20,                 2.6963,                 1.9813,                 1.4332,                0.68749,                0.15948,                0.20822,                0.07328,                 2.6297,                 2.1744,                 1.4696,               0.001469,               0.001469,               0.001469
                     21,                 2.6811,                 1.9791,                  1.441,                0.29227,                0.47062,                0.30894,                0.11742,                 2.3718,                 1.8304,                 1.3742,               0.001458,               0.001458,               0.001458
                     22,                 2.5239,                 1.9112,                 1.4131,                0.28898,                0.44656,                0.31383,                0.12168,                 2.4108,                 1.8516,                 1.3781,               0.001447,               0.001447,               0.001447
                     23,                 2.5492,                 1.9114,                 1.4277,                0.27852,                0.47217,                0.34932,                0.14212,                 2.2485,                 1.7741,                 1.3318,               0.001436,               0.001436,               0.001436
                     24,                 2.5603,                 1.9805,                 1.3925,                0.32605,                0.41033,                0.30426,                0.10982,                 2.3869,                 1.7051,                 1.3416,               0.001425,               0.001425,               0.001425
                     25,                 2.4836,                 1.8944,                 1.3792,                 0.3075,                0.55914,                0.38175,                0.14519,                 2.2489,                 1.6641,                  1.284,              0.0014139,              0.0014139,              0.0014139
                     26,                 2.3908,                 1.8218,                 1.3934,                0.38508,                 0.4843,                0.39576,                0.16593,                   2.17,                 1.5817,                  1.278,              0.0014029,              0.0014029,              0.0014029
                     27,                 2.3211,                 1.8232,                 1.3382,                0.48532,                0.50957,                0.43668,                0.18209,                  2.217,                 1.5274,                 1.2773,              0.0013919,              0.0013919,              0.0013919
                     28,                 2.3827,                 1.7488,                 1.3394,                0.34183,                0.59607,                0.44684,                0.19703,                 2.0897,                 1.5698,                 1.2259,              0.0013809,              0.0013809,              0.0013809
                     29,                 2.3647,                 1.7169,                 1.2924,                0.31568,                0.59039,                 0.4211,                0.18138,                 2.1201,                 1.6375,                 1.2261,              0.0013699,              0.0013699,              0.0013699
                     30,                 2.2361,                 1.6708,                 1.2922,                0.41239,                  0.501,                0.41312,                0.18471,                 2.0762,                 1.5458,                 1.2182,              0.0013589,              0.0013589,              0.0013589
                     31,                 2.2141,                 1.5678,                 1.2643,                0.50187,                0.54951,                0.48249,                 0.2139,                 2.0511,                 1.3932,                 1.2144,              0.0013479,              0.0013479,              0.0013479
                     32,                 2.1982,                 1.5791,                 1.3168,                0.38872,                0.46483,                0.40356,                0.15234,                 2.3017,                 1.5232,                 1.2736,              0.0013369,              0.0013369,              0.0013369
                     33,                 2.2823,                 1.6325,                 1.3102,                0.49877,                0.55355,                0.49991,                 0.2268,                 2.0177,                 1.4185,                  1.205,              0.0013259,              0.0013259,              0.0013259
                     34,                 2.0304,                 1.4644,                 1.2765,                0.50361,                0.58709,                0.53011,                0.23179,                 2.0563,                 1.3862,                 1.2122,              0.0013149,              0.0013149,              0.0013149
                     35,                 2.0485,                 1.5482,                 1.3002,                0.47279,                0.56004,                0.49928,                0.22372,                 2.0821,                 1.4537,                 1.2287,              0.0013039,              0.0013039,              0.0013039
                     36,                 2.2657,                 1.5551,                 1.2543,                0.48264,                0.58241,                0.47974,                0.19393,                 2.1214,                 1.4192,                 1.2413,              0.0012929,              0.0012929,              0.0012929
                     37,                 2.0901,                 1.4813,                 1.2725,                0.39938,                0.60086,                0.48278,                0.22241,                 1.9629,                 1.4258,                  1.218,              0.0012819,              0.0012819,              0.0012819
                     38,                 2.1404,                 1.4531,                 1.2591,                0.42965,                0.55226,                0.46036,                0.17443,                  2.176,                 1.4407,                 1.2526,              0.0012709,              0.0012709,              0.0012709
                     39,                 2.0622,                 1.4513,                 1.2053,                0.45384,                0.53514,                0.44496,                0.18883,                 2.0429,                 1.5897,                 1.2053,              0.0012599,              0.0012599,              0.0012599
                     40,                 2.0856,                 1.5158,                 1.2405,                0.51672,                0.62569,                0.52518,                 0.2368,                  1.969,                  1.337,                 1.1851,              0.0012489,              0.0012489,              0.0012489
                     41,                 2.0434,                 1.3906,                 1.2066,                0.50492,                0.62505,                0.53773,                0.24769,                 1.9346,                 1.3234,                 1.1685,              0.0012379,              0.0012379,              0.0012379
                     42,                 2.0449,                 1.4066,                 1.2281,                 0.4815,                0.60485,                 0.5136,                0.24099,                 1.8615,                 1.3376,                 1.1446,              0.0012269,              0.0012269,              0.0012269
                     43,                  2.072,                 1.4082,                 1.2259,                0.45538,                0.57545,                0.47043,                0.20938,                 1.9834,                 1.3763,                  1.197,              0.0012159,              0.0012159,              0.0012159
                     44,                  2.049,                 1.4321,                 1.2619,                0.45341,                 0.6099,                0.45639,                0.18951,                 2.0223,                 1.4654,                 1.1975,              0.0012049,              0.0012049,              0.0012049
                     45,                 2.0388,                 1.5144,                 1.1992,                0.49247,                0.60926,                 0.4843,                0.22405,                  1.882,                 1.4291,                 1.1664,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.9831,                 1.3948,                 1.1959,                0.52326,                 0.6536,                  0.574,                0.27671,                 1.8623,                 1.2605,                 1.1492,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.9542,                 1.3517,                 1.2155,                0.49558,                0.63714,                0.54241,                0.25606,                 1.8888,                 1.2775,                  1.156,              0.0011719,              0.0011719,              0.0011719
                     48,                 2.0108,                 1.3398,                 1.1846,                0.46106,                0.51702,                0.42846,                0.20517,                  1.923,                 1.4914,                  1.176,              0.0011609,              0.0011609,              0.0011609
                     49,                 2.0321,                 1.3524,                 1.1768,                 0.5082,                0.58886,                0.49109,                0.21791,                 1.9431,                  1.414,                  1.167,              0.0011499,              0.0011499,              0.0011499
                     50,                 1.9831,                 1.3319,                 1.1913,                0.50706,                 0.6534,                0.52566,                0.24784,                 1.8801,                 1.4698,                 1.1375,              0.0011389,              0.0011389,              0.0011389
                     51,                 1.9496,                 1.3839,                 1.1844,                0.52622,                0.66609,                0.54503,                0.26224,                 1.8594,                  1.377,                 1.1443,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.9403,                 1.3548,                 1.1766,                0.53911,                0.65954,                 0.5432,                0.23808,                  1.959,                 1.4166,                 1.1683,              0.0011169,              0.0011169,              0.0011169
                     53,                 1.9487,                 1.3686,                 1.1659,                0.52836,                0.64143,                0.51924,                0.23423,                 1.9083,                 1.4176,                 1.1549,              0.0011059,              0.0011059,              0.0011059
                     54,                 1.9731,                 1.3498,                 1.1551,                0.47616,                0.59538,                0.48396,                0.21722,                 1.9969,                 1.3923,                 1.1766,              0.0010949,              0.0010949,              0.0010949
                     55,                 1.9136,                 1.3007,                 1.1655,                0.53564,                0.61459,                0.54591,                0.24618,                 1.9094,                 1.2359,                 1.1533,              0.0010839,              0.0010839,              0.0010839
                     56,                 1.9506,                 1.3563,                 1.1797,                0.50388,                0.62887,                0.51082,                0.22335,                 1.9219,                 1.2606,                 1.1535,              0.0010729,              0.0010729,              0.0010729
                     57,                 1.9399,                 1.2921,                 1.1766,                0.52095,                0.66828,                0.55459,                0.24977,                 1.9287,                 1.3478,                 1.1478,              0.0010619,              0.0010619,              0.0010619
                     58,                 1.9501,                 1.3868,                  1.181,                0.54686,                0.64881,                0.55249,                0.26282,                  1.867,                 1.3122,                 1.1277,              0.0010509,              0.0010509,              0.0010509
                     59,                  1.909,                 1.3275,                 1.1938,                0.54242,                0.68307,                0.56072,                 0.2642,                  1.856,                  1.336,                 1.1344,              0.0010399,              0.0010399,              0.0010399
                     60,                 1.9284,                  1.332,                 1.1563,                0.55346,                 0.6889,                0.59285,                0.28205,                 1.8744,                 1.2384,                 1.1308,              0.0010289,              0.0010289,              0.0010289
                     61,                 1.8844,                 1.3317,                   1.14,                 0.4805,                0.62221,                0.50963,                 0.2062,                 2.0701,                 1.3275,                 1.1924,              0.0010179,              0.0010179,              0.0010179
                     62,                 1.8918,                 1.2838,                 1.1622,                0.47937,                0.60746,                 0.5087,                0.24612,                 1.8544,                 1.2473,                 1.1352,              0.0010069,              0.0010069,              0.0010069
                     63,                 1.8759,                 1.3525,                 1.1335,                0.50904,                0.58662,                0.49208,                0.21995,                 1.9576,                 1.2279,                 1.1723,             0.00099587,             0.00099587,             0.00099587
                     64,                 1.9268,                 1.3315,                 1.1778,                0.53582,                0.56234,                0.48022,                 0.2217,                 1.9514,                 1.6039,                 1.1564,             0.00098486,             0.00098486,             0.00098486
                     65,                 1.9218,                 1.3213,                 1.1808,                0.53605,                0.54686,                0.46045,                0.21462,                 1.9792,                 1.6256,                 1.1564,             0.00097386,             0.00097386,             0.00097386
                     66,                 1.8095,                 1.2481,                 1.1354,                0.55032,                0.67539,                 0.6022,                 0.2881,                 1.8264,                 1.1735,                 1.1166,             0.00096286,             0.00096286,             0.00096286
                     67,                 1.8524,                 1.3195,                  1.141,                0.49804,                0.68266,                0.57742,                0.27609,                 1.8455,                 1.2248,                 1.1212,             0.00095186,             0.00095186,             0.00095186
                     68,                 1.8699,                 1.2799,                 1.1344,                0.47186,                0.57956,                0.43892,                 0.1756,                 2.1138,                 1.4732,                 1.1946,             0.00094085,             0.00094085,             0.00094085
                     69,                 1.8244,                 1.2472,                 1.1214,                0.54713,                0.68153,                0.56562,                0.27402,                 1.8439,                 1.2642,                 1.1212,             0.00092985,             0.00092985,             0.00092985
                     70,                 1.8658,                 1.2472,                 1.1258,                0.57513,                0.69936,                0.60943,                0.29583,                 1.8383,                 1.1735,                 1.1178,             0.00091885,             0.00091885,             0.00091885
                     71,                 1.8498,                 1.2591,                 1.1047,                0.53608,                0.67278,                0.58611,                0.28145,                 1.8287,                 1.1749,                 1.1196,             0.00090785,             0.00090785,             0.00090785
                     72,                 1.8144,                 1.2935,                 1.1249,                0.46298,                0.59918,                0.48033,                0.21472,                 1.8897,                 1.3414,                 1.1312,             0.00089685,             0.00089685,             0.00089685
                     73,                   1.88,                  1.288,                  1.129,                0.52351,                0.65094,                0.56693,                0.26622,                 1.8622,                 1.2103,                 1.1232,             0.00088584,             0.00088584,             0.00088584
                     74,                 1.8493,                 1.2539,                 1.1169,                0.55343,                0.68681,                0.59577,                0.29548,                 1.7774,                 1.1727,                 1.1044,             0.00087484,             0.00087484,             0.00087484
                     75,                 1.9844,                 1.2872,                 1.1399,                0.57559,                0.69977,                0.61709,                0.27103,                 1.9794,                 1.1673,                 1.1535,             0.00086384,             0.00086384,             0.00086384
                     76,                 1.8371,                 1.2336,                  1.126,                0.53298,                0.62471,                 0.5414,                0.22894,                 1.9586,                  1.227,                 1.1566,             0.00085284,             0.00085284,             0.00085284
                     77,                  1.874,                 1.2638,                  1.126,                0.52005,                 0.6685,                0.57957,                0.27964,                 1.8107,                 1.2091,                 1.1068,             0.00084184,             0.00084184,             0.00084184
                     78,                 1.7747,                 1.2447,                 1.1369,                0.53232,                0.66935,                0.58188,                 0.2814,                 1.7852,                 1.2185,                  1.098,             0.00083083,             0.00083083,             0.00083083
                     79,                 1.8395,                 1.2265,                 1.1315,                0.55957,                0.68201,                0.60253,                0.29817,                 1.7706,                 1.1796,                 1.0984,             0.00081983,             0.00081983,             0.00081983
                     80,                 1.8368,                  1.321,                 1.1014,                0.53024,                0.67032,                0.57071,                0.26581,                 1.8277,                 1.1789,                 1.1074,             0.00080883,             0.00080883,             0.00080883
                     81,                 1.8142,                 1.2236,                 1.1108,                0.47666,                0.65724,                0.51628,                0.24941,                 1.8017,                 1.2385,                 1.1058,             0.00079783,             0.00079783,             0.00079783
                     82,                  1.782,                 1.2079,                 1.1036,                0.56012,                0.72215,                0.59982,                0.28688,                 1.8022,                 1.1586,                 1.1065,             0.00078682,             0.00078682,             0.00078682
                     83,                 1.7971,                 1.2305,                 1.1031,                0.57154,                0.71459,                  0.611,                0.30313,                 1.7713,                 1.1454,                 1.1063,             0.00077582,             0.00077582,             0.00077582
                     84,                   1.78,                  1.195,                 1.1027,                0.51443,                0.64982,                0.54684,                0.25039,                 1.8785,                 1.2154,                 1.1307,             0.00076482,             0.00076482,             0.00076482
                     85,                 1.7592,                 1.2012,                 1.1036,                0.50382,                0.64421,                0.54852,                 0.2462,                 1.9302,                 1.2349,                 1.1364,             0.00075382,             0.00075382,             0.00075382
                     86,                 1.8316,                  1.207,                 1.1013,                0.54375,                0.68129,                0.59999,                0.28624,                 1.7824,                 1.1267,                  1.093,             0.00074282,             0.00074282,             0.00074282
                     87,                 1.7963,                 1.2347,                 1.0976,                 0.5747,                0.70711,                0.61629,                0.31049,                 1.7381,                 1.1326,                 1.0847,             0.00073181,             0.00073181,             0.00073181
                     88,                 1.7957,                 1.2299,                  1.092,                0.57419,                 0.6757,                0.59091,                0.28831,                 1.8043,                 1.2383,                 1.1095,             0.00072081,             0.00072081,             0.00072081
