                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8513,                 6.2063,                 4.2068,                      0,                      0,                      0,                      0,                 7.0476,                 5.3857,                 4.1565,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8246,                 5.2635,                 3.9935,                      0,                      0,                      0,                      0,                 7.0453,                 5.2851,                 4.1353,             0.00027404,             0.00027404,             0.00027404
                      3,                 6.6937,                 4.5179,                  3.643,                      0,                      0,                      0,                      0,                 7.0438,                 4.7789,                  4.125,             0.00040481,             0.00040481,             0.00040481
                      4,                 6.2796,                 4.2084,                 3.4825,                      0,                      0,                      0,                      0,                   7.05,                 4.9187,                 4.1839,             0.00052569,             0.00052569,             0.00052569
                      5,                 5.3088,                  3.521,                 3.2601,                      0,                      0,                      0,                      0,                 7.0589,                 5.3789,                 4.2805,             0.00063666,             0.00063666,             0.00063666
                      6,                 4.5979,                 3.1278,                 2.6958,                      0,                      0,                      0,                      0,                 7.0776,                 5.2962,                 4.4789,             0.00073773,             0.00073773,             0.00073773
                      7,                 4.3976,                 3.0054,                 2.4972,                      0,                      0,                      0,                      0,                 7.0839,                 5.3795,                  4.537,              0.0008289,              0.0008289,              0.0008289
                      8,                 4.2215,                 2.9169,                 2.2984,                      0,                      0,                      0,                      0,                 7.1126,                 5.7893,                  4.923,             0.00091017,             0.00091017,             0.00091017
                      9,                 4.2092,                 2.8004,                 2.1787,                      0,                      0,                      0,                      0,                  7.104,                 5.0127,                 4.3884,             0.00098153,             0.00098153,             0.00098153
                     10,                 3.8929,                 2.6745,                 2.0632,                      0,                      0,                      0,                      0,                 7.1216,                 6.9217,                 4.9949,               0.001043,               0.001043,               0.001043
                     11,                 3.8187,                 2.5589,                 1.9734,                      0,                      0,                      0,                      0,                 7.1193,                 6.3587,                 4.8042,              0.0010946,              0.0010946,              0.0010946
                     12,                 3.6192,                 2.4343,                 1.8597,                      0,                      0,                      0,                      0,                 6.7127,                 4.0833,                 1.9478,              0.0010619,              0.0010619,              0.0010619
                     13,                 3.5429,                  2.459,                  1.877,                0.00017,                0.00031,                  9e-05,                  3e-05,                 6.4171,                 8.3976,                 4.5759,              0.0010619,              0.0010619,              0.0010619
                     14,                 3.4556,                  2.379,                 1.8564,                0.05329,                0.00537,                0.00216,                0.00078,                 5.3758,                 4.4703,                 3.2407,              0.0010069,              0.0010069,              0.0010069
                     15,                 3.2479,                 2.2988,                 1.7821,                0.03742,                0.02111,                0.00509,                0.00176,                 4.7606,                 3.8222,                 2.4881,             0.00095186,             0.00095186,             0.00095186
                     16,                 3.5761,                 2.3377,                 1.7805,                0.14652,                0.08399,                0.03269,                0.00983,                  3.714,                  2.611,                 1.9027,             0.00089685,             0.00089685,             0.00089685
                     17,                 3.1825,                 2.2449,                 1.6858,                0.19363,                0.15421,                 0.0915,                0.03072,                 3.2261,                 2.2195,                 1.7243,             0.00084184,             0.00084184,             0.00084184
                     18,                 2.9596,                 2.1349,                 1.6184,                0.24292,                0.22079,                0.15188,                0.05425,                 3.0535,                 2.0673,                 1.6622,             0.00078682,             0.00078682,             0.00078682
                     19,                 2.9779,                 2.1036,                 1.6092,                0.67367,                0.16098,                0.17726,                0.06106,                 2.9856,                 2.1041,                 1.6382,             0.00073181,             0.00073181,             0.00073181
                     20,                 2.9886,                  2.098,                 1.5592,                0.70804,                0.19208,                0.24427,                0.09462,                 2.6798,                 2.0003,                 1.5385,              0.0006768,              0.0006768,              0.0006768
                     21,                 2.7305,                 2.2184,                 1.5949,                0.71497,                0.18556,                0.25558,                0.09705,                 2.6112,                 1.9956,                 1.5162,             0.00062179,             0.00062179,             0.00062179
                     22,                 2.6218,                 2.1838,                 1.5835,                 0.2454,                0.34635,                0.24442,                0.08705,                 2.6872,                 1.9073,                 1.5288,             0.00056678,             0.00056678,             0.00056678
                     23,                   2.66,                 2.1775,                 1.5926,                0.22485,                0.32711,                0.21519,                0.06369,                 2.8874,                 1.9472,                 1.5635,             0.00051177,             0.00051177,             0.00051177
                     24,                 2.6004,                 2.0385,                 1.5329,                0.29109,                0.44792,                0.32631,                0.12827,                 2.4497,                 1.7909,                 1.4001,             0.00045676,             0.00045676,             0.00045676
                     25,                 2.7039,                 2.0285,                 1.5503,                0.29814,                 0.4684,                0.34482,                0.13953,                 2.4132,                 1.7966,                 1.3647,             0.00040175,             0.00040175,             0.00040175
                     26,                 2.5868,                 2.0136,                 1.5003,                0.37379,                0.44035,                0.36793,                0.15229,                 2.3604,                 1.7623,                 1.3631,             0.00034674,             0.00034674,             0.00034674
                     27,                 2.5781,                  1.955,                 1.5061,                0.41773,                 0.4259,                0.36823,                0.15454,                 2.3409,                  1.745,                 1.3607,             0.00029172,             0.00029172,             0.00029172
                     28,                 2.4653,                 1.9271,                 1.5233,                0.41188,                0.42582,                 0.3786,                0.16282,                 2.3023,                 1.7937,                 1.3369,             0.00023671,             0.00023671,             0.00023671
                     29,                 2.4105,                 1.8894,                 1.4603,                0.42297,                0.42675,                0.38325,                0.16399,                 2.3126,                 1.8228,                 1.3351,              0.0001817,              0.0001817,              0.0001817
                     30,                 2.4222,                 1.8831,                 1.4939,                0.42388,                0.43308,                0.38154,                0.16563,                  2.306,                 1.8152,                 1.3274,             0.00012669,             0.00012669,             0.00012669
