                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8708,                 6.2298,                 4.2214,                      0,                      0,                      0,                      0,                 7.0503,                  5.452,                 4.1586,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8205,                 5.3674,                 4.0427,                      0,                      0,                      0,                      0,                 7.0499,                 5.4444,                 4.1547,             0.00028058,             0.00028058,             0.00028058
                      3,                 6.6972,                 4.6829,                 3.6891,                      0,                      0,                      0,                      0,                 7.0536,                 5.0378,                 4.1819,             0.00042484,             0.00042484,             0.00042484
                      4,                 6.3403,                 4.8301,                 3.6022,                      0,                      0,                      0,                      0,                 7.0602,                 5.0728,                 4.2405,             0.00056612,             0.00056612,             0.00056612
                      5,                 5.6468,                  3.959,                 3.3698,                      0,                      0,                      0,                      0,                 7.0633,                 5.1696,                 4.2806,             0.00070443,             0.00070443,             0.00070443
                      6,                 4.8886,                  3.406,                 2.9371,                      0,                      0,                      0,                      0,                 7.0934,                 4.6089,                 4.6513,             0.00083978,             0.00083978,             0.00083978
                      7,                 4.1086,                 2.8633,                 2.5612,                      0,                      0,                      0,                      0,                 7.1114,                 4.9418,                 4.8926,             0.00097215,             0.00097215,             0.00097215
                      8,                 4.1114,                 2.7386,                 2.3859,                      0,                      0,                      0,                      0,                  7.089,                 5.1442,                 4.5628,              0.0011015,              0.0011015,              0.0011015
                      9,                 3.7467,                  2.591,                 2.1803,                      0,                      0,                      0,                      0,                 7.0948,                 5.5044,                 4.6165,               0.001228,               0.001228,               0.001228
                     10,                 3.5982,                 2.5116,                 2.0348,                      0,                      0,                      0,                      0,                 7.1214,                 6.4017,                 4.9945,              0.0013514,              0.0013514,              0.0013514
                     11,                 3.5081,                 2.4577,                 1.9446,                      0,                      0,                      0,                      0,                 7.1023,                 5.6071,                 4.7069,              0.0014719,              0.0014719,              0.0014719
                     12,                 3.2721,                 2.4101,                 1.7848,                0.00051,                0.00139,                0.00078,                0.00026,                 6.9738,                 4.7584,                 4.2247,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.2456,                 2.3765,                 1.8025,                0.07029,                 0.0351,                 0.0075,                0.00228,                 4.9755,                 3.3382,                 2.6666,              0.0014855,              0.0014855,              0.0014855
                     14,                  3.186,                 2.2746,                 1.7234,                0.09155,                0.03794,                0.01594,                0.00525,                 4.1723,                 2.7681,                 2.1496,               0.001469,               0.001469,               0.001469
                     15,                  3.019,                 2.2252,                 1.6459,                0.07825,                0.11153,                0.02592,                0.00839,                 3.9426,                 2.5937,                 2.0321,              0.0014525,              0.0014525,              0.0014525
                     16,                 3.3226,                 2.2568,                 1.6477,                 0.1318,                0.15613,                0.06465,                0.02391,                 3.1455,                 2.2523,                 1.7066,               0.001436,               0.001436,               0.001436
                     17,                 2.9831,                 2.2082,                 1.5838,                0.18241,                  0.118,                0.07356,                0.02719,                 3.1563,                 2.2341,                  1.723,              0.0014195,              0.0014195,              0.0014195
                     18,                  2.767,                 2.1023,                 1.5024,                0.63037,                 0.1329,                0.14093,                 0.0471,                 2.9698,                 2.1435,                  1.596,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.7694,                 2.0841,                 1.4965,                0.18724,                0.25952,                0.15382,                0.05867,                 2.7688,                 2.0772,                 1.5336,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.7625,                 2.0432,                 1.4581,                0.21452,                0.18804,                0.25349,                0.09657,                 2.6362,                 1.9485,                 1.4601,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.7203,                 1.9837,                 1.4656,                 0.2538,                0.44199,                0.31728,                0.10825,                 2.5658,                 1.8394,                 1.4275,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.5579,                 1.9164,                 1.4301,                0.34821,                0.40117,                0.33111,                 0.1182,                 2.4978,                 1.7654,                 1.4151,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.6052,                 1.9277,                 1.4551,                0.29335,                0.45562,                0.30885,                0.10903,                   2.41,                 1.7804,                 1.3834,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.5973,                 1.9388,                 1.4068,                 0.2932,                0.50593,                  0.362,                0.13252,                 2.3428,                 1.7704,                  1.334,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.4949,                 1.8351,                 1.3818,                0.73106,                0.23922,                0.34808,                0.13864,                 2.2283,                 2.2823,                 1.2983,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.3846,                 1.8285,                 1.3979,                0.37975,                0.44359,                0.36515,                0.13918,                 2.3063,                 1.7334,                 1.3307,              0.0012709,              0.0012709,              0.0012709
